task_id,timestamp_us,total_run_time,total_io_wait_time,total_ready_wait_time,delta
F,55538995,27673654,0,27766228,49
F,56036995,27921644,0,28015238,50
B,56185995,28062760,0,28024122,50
F,56532995,28171634,0,28261248,50
F,57032995,28421624,0,28511258,50
B,57281995,28608738,0,28574144,49
F,57530995,28670614,0,28760268,50
F,58030995,28920604,0,29010278,50
B,58379995,29156716,0,29123166,50
F,58528995,29170594,0,29259288,49
F,59026995,29420584,0,29506298,50
B,59476995,29703694,0,29673188,50
F,59526995,29670574,0,29756308,50
F,60026995,29920564,0,30006318,50
F,60526995,30170554,0,30256328,50
B,60576995,30253672,0,30223210,50
F,61026995,30420544,0,30506338,50
F,61526995,30670534,0,30756348,50
B,61676995,30803650,0,30773232,50
F,62026995,30920524,0,31006358,50
F,62526995,31170514,0,31256368,50
B,62771995,31352628,0,31321254,49
F,63016995,31416504,0,31502378,49
F,63506995,31661494,0,31747388,49
B,63849995,31891606,0,31860276,49
F,63996995,31906484,0,31992398,49
F,64486995,32151474,0,32237408,49
B,64935995,32432584,0,32403298,50
F,64985995,32400464,0,32485418,50
F,65483995,32649454,0,32735428,49
F,65980995,32897444,0,32983438,50
B,66030995,32980562,0,32950320,50
F,66480995,33147434,0,33233448,50
F,66977995,33396424,0,33483458,49
B,67127995,33529540,0,33498342,50
F,67477995,33645414,0,33732468,50
F,67977995,33895404,0,33982478,50
B,68226995,34078518,0,34048364,50
F,68475995,34145394,0,34230488,50
F,68972995,34393384,0,34479498,50
B,69320995,34626496,0,34595386,49
F,69468995,34641374,0,34728508,49
F,69968995,34891364,0,34977518,50
B,70418995,35174474,0,35144408,50
F,70468995,35141354,0,35227528,50
F,70968995,35391344,0,35477538,50
F,71468995,35641334,0,35727548,50
B,71518995,35724452,0,35694430,50
F,71966995,35891324,0,35975558,50
F,72466995,36141314,0,36225568,50
B,72616995,36272430,0,36244452,50
F,72966995,36391304,0,36475578,50
F,73466995,36641294,0,36725588,50
B,73716995,36822408,0,36794474,50
F,73966995,36891284,0,36975598,50
F,74465995,37140274,0,37225608,50
B,74815995,37372386,0,37343496,50
F,74965995,37390264,0,37475618,50
F,75463995,37640254,0,37723628,50
B,75913995,37920364,0,37893518,50
F,75963995,37890244,0,37973638,50
F,76463995,38140234,0,38223648,50
F,76963995,38390224,0,38473658,50
B,77013995,38470342,0,38443540,50
F,77461995,38640214,0,38721668,50
F,77961995,38890204,0,38971678,50
B,78111995,39018320,0,38993562,50
F,78461995,39140194,0,39221688,50
F,78959995,39390184,0,39469698,50
B,79209995,39566298,0,39543584,50
F,79459995,39640174,0,39719708,50
F,79957995,39888164,0,39969718,50
B,80307995,40116276,0,40091606,50
F,80457995,40138154,0,40219728,50
F,80957995,40388144,0,40469738,50
B,81405995,40666254,0,40640628,49
F,81455995,40637134,0,40719748,50
F,81954995,40885124,0,40969758,50
F,82453995,41135114,0,41219768,49
B,82503995,41216232,0,41188650,50
F,82953995,41385104,0,41468778,50
F,83452995,41635094,0,41718788,49
B,83601995,41764210,0,41738672,50
F,83947995,41885084,0,41962798,50
F,84447995,42135074,0,42212808,50
B,84697995,42309188,0,42288694,50
F,84946995,42385064,0,42462818,49
F,85444995,42635054,0,42709828,50
B,85793995,42855166,0,42838716,50
F,85943995,42885044,0,42958838,50
F,86443995,43135034,0,43208848,50
B,86893995,43405144,0,43388738,50
F,86943995,43385024,0,43458858,50
